// Size of tiles drawn to window
64,64
// How many tiles (Width X Height) to draw to window
52,14
// How big the tile that we're taking from sprite sheet is
32,32
// Upper left x y of the rectangle to draw
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,0
32,0
64,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,0
64,0
292,64,BG
292,64,BG
292,64,BG
0,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
64,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,64
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
64,64
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,64
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
64,64
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
96,0
0,0
32,0
64,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,64
500,500,BG
500,500,BG
384,0,BG
384,0,BG
384,0,BG
500,500,BG
500,500,BG
500,500,BG
384,0,BG
384,0,BG
500,500,BG
500,500,BG
64,64
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
64,32
32,32
64,32
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,64
500,500,BG
500,500,BG
0,0
32,0
64,0
500,500,BG
500,500,BG
500,500,BG
0,0
64,0
500,500,BG
96,0
64,64
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,64
384,0,BG
384,0,BG
64,64
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
500,500,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
384,0,BG
384,0,BG
384,0,BG
64,64
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
500,500,BG
448,32,BG
416,32,BG
416,32,BG
416,32,BG
416,32,BG
448,32,BG
416,32,BG
416,32,BG
448,32,BG
416,32,BG
416,32,BG
416,32,BG
500,500,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
384,0,BG
384,0,BG
0,32
64,64
292,64,BG
292,64,BG
292,64,BG
96,0
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
0,32
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
416,32,BG
416,32,BG
448,32,BG
416,32,BG
416,32,BG
416,32,BG
416,32,BG
448,32,BG
416,32,BG
416,32,BG
448,32,BG
416,32,BG
416,32,BG
416,32,BG
292,64,BG
292,64,BG
292,64,BG
292,64,BG
384,0,BG
384,0,BG
384,0,BG
64,64
292,64,BG
292,64,BG
292,64,BG
0,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,0
64,0
