// Size of tiles drawn to window
64,64
// How many tiles (Width X Height) to draw to window
130,14
// How big the tile that we're taking from sprite sheet is
32,32
// Upper left x y of the rectangle to draw
96,0
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
0,32
32,32
32,32
32,32
32,32
64,32
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
0,32
32,32
32,32
32,32
32,32
64,32
1000,1000,BG
1000,1000,BG
96,0
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
1000,1000,BG
